,Title,Price,Price Per Sqft
220,"3 BHK Builder Floor for Sale in New Industrial Township 3A Block D, New Industrial Township, Mathura Road Faridabad",₹85 Lac ,₹20833 per sqft 
221,2 BHK Apartment for Sale in Dwarka Sector 9 New Delhi,₹1.40 Cr ,₹8230 per sqft 
222,4 BHK Builder Floor for Sale in Sushant Lok 1 Block C Gurgaon,₹2.70 Cr ,₹44000 per sqft 
223,4 BHK Builder Floor for Sale in Sushant Lok 1 Block B Gurgaon,₹2.90 Cr ,₹10182 per sqft 
224,2 BHK Apartment for Sale in Sector 85 Gurgaon,₹1.13 Cr ,₹9818 per sqft 
225,2 BHK Apartment for Sale in Sector 85 Gurgaon,₹1.14 Cr ,₹4095 per sqft 
226,2 BHK Apartment for Sale in Sector 85 Gurgaon,₹1.15 Cr ,₹6154 per sqft 
227,3 BHK Builder Floor for Sale in A Block-Saket New Delhi,₹4.65 Cr ,₹7684 per sqft 
228, Apartment for Sale in Vasundhara Ghaziabad,Call for Price,₹4630 per sqft 
229,"4 BHK Builder Floor for Sale in Nirvana Country, Sector 50 Gurgaon",₹4.50 Cr ,₹13148 per sqft 
230,2 BHK Apartment for Sale in Noida Extension Noida,₹50 Lac ,₹13363 per sqft 
231,3 BHK Apartment for Sale in Sector 74 Noida,₹1.18 Cr ,₹26389 per sqft 
232,3 BHK Builder Floor for Sale in Vasundhara Ghaziabad,₹50.5 Lac ,₹3373 per sqft 
233,3 BHK Apartment for Sale in Sector 65 Gurgaon,₹6.31 Cr ,₹7113 per sqft 
234,"4 BHK Builder Floor for Sale in Ardee City, Sector 52 Gurgaon",₹2.15 Cr ,₹7800 per sqft 
235,3 BHK Apartment for Sale in Noida Extention Greater Noida,₹78 Lac ,₹4130 per sqft 
236, Studio Apartment for Sale in Vasundhara Sector 17 Ghaziabad,₹30 Lac ,₹7727 per sqft 
237,4 BHK Apartment for Sale in Sector 81 Faridabad,₹3.15 Cr ,₹6701 per sqft 
238,3 BHK Apartment for Sale in Sector 81 Faridabad,₹1.26 Cr ,₹8556 per sqft 
239,4 BHK Builder Floor for Sale in East Of Kailash New Delhi,₹6 Cr ,₹7857 per sqft 
240,2 BHK Apartment for Sale in Greater Noida West Greater Noida,₹59 Lac ,₹5391 per sqft 
241,3 BHK Apartment for Sale in Noida Extension Noida,₹91 Lac ,₹8516 per sqft 
242,3 BHK Apartment for Sale in Sushant Lok Gurgaon,₹6.25 Cr ,₹5652 per sqft 
243,4 BHK Builder Floor for Sale in Sector 2 Gurgaon,₹2 Cr ,₹18108 per sqft 
244,4 BHK Builder Floor for Sale in Anand Lok New Delhi,₹11 Cr ,₹13559 per sqft 
245,4 BHK Builder Floor for Sale in Sushant Lok 1 Block B Gurgaon,₹2.80 Cr ,₹5500 per sqft 
246,4 BHK Builder Floor for Sale in Sushant Lok 1 Block B Gurgaon,₹2.70 Cr ,₹5510 per sqft 
247,"2 BHK Builder Floor for Sale in Sector 49, Dadri Road Noida",₹43 Lac ,₹14815 per sqft 
248,2 BHK Builder Floor for Sale in Dwarka Mor New Delhi,₹28 Lac ,₹5469 per sqft 
249,"3 BHK Apartment for Sale in Sector 128, Noida Express Way Noida",₹1.50 Cr ,₹6948 per sqft 
250,2 BHK Builder Floor for Sale in Sector 86 Faridabad,₹50 Lac ,₹7134 per sqft 
251,4 BHK Builder Floor for Sale in Sector 47 Gurgaon,₹3.55 Cr ,₹7195 per sqft 
252,4 BHK Apartment for Sale in Vodafone Belvedere Towers Rapid Metro Gurgaon,₹3 Cr ,₹6222 per sqft 
253,"3 BHK Builder Floor for Sale in Safdarjung Development Area, Hauz Khas New Delhi",₹4.75 Cr ,₹7256 per sqft 
254,2 BHK Apartment for Sale in Crossings Republik Ghaziabad,₹43 Lac ,₹7176 per sqft 
255,"2 BHK Apartment for Sale in Sector 150, Pusta Road Noida",₹85 Lac ,₹7047 per sqft 
256,3 BHK Apartment for Sale in Sector 89 Gurgaon,₹1.52 Cr ,₹7090 per sqft 
257,"3 BHK Builder Floor for Sale in Shakti Khand, Indirapuram Ghaziabad",₹47.5 Lac ,₹6894 per sqft 
258,4 BHK Builder Floor for Sale in Sector 65 Gurgaon,₹1.70 Cr ,₹3125 per sqft 
